id,type,copy,blurb,pointsTo,url,urlText,imageUrl
1,question,"Were you born on or after June 15, 1981 and are you currently at least 15 years old?","Before moving on, I'd like to learn more about you!","2,3",,,
2,input,Yes,,5,,,
3,input,No,,35,,,
4,link,"Nuts, you're too old. Go read the New Yorker.",,,newyorker.com,,
5,question,"Are you a resident, citizen, or have some other form of immigrant status?",,"6,7,8",,,
6,input,Resident,,36,,,
7,input,Citizen,,36,,,
8,input,Other status,,9,,,
9,question,Which of the following immigration status do you have?,,"10,11",,,
10,input,Student visa,,35,,,
11,input,I don't know,,1000,,,
12,input,I have DACA,,35,,,
1000,question,Do you want to see if you are eligible?,"You might be eligible for DACA! It stands for ""Consideration of Deferred Action for Childhood Arrivals"". It's an immigration policy that allows certain undocumented immigrants in the United States to receive a renewable two-year work permit and exemption from deportation.","1001,1002",,,
1001,input,Yes,,13,,,
1002,input,No,,35,,,
13,question,Were you 15 or younger when you moved to the U.S.?,,"14,15",,,
14,input,Yes,,16,,,
15,input,No,,1003,,,
16,question,"Were you in the U.S. on June 15, 2012?",,"17,18",,,
17,input,Yes,,19,,,
18,input,No,,1003,,,
19,question,Have you left the U.S. since arriving?,,"20,21",,,
20,input,Yes,,22,,,
21,input,No,,25,,,
22,question,"Have you been in the U.S. since June 15, 2007?",,"23,24",,,
23,input,Yes,,25,,,
24,input,No,,1003,,,
25,question,Have you ever been arrested or convicted of a crime?,,"26,27",,,
26,input,Yes,,28,,,
27,input,No,,31,,,
28,question,Do any of the above scenarios apply to you?,"""I have not been convicted of a felony, significant misdemeanor, or three or more other misdemeanors, and do not otherwise pose a threat to national security or public safety.""","29,30",,,
29,input,Yes,,31,,,
30,input,No,,1003,,,
31,question,Do any of the above scenarios apply to you?,"""I am currently in school, have graduated or obtained a certificate of completion from high school, have obtained a general education development (GED) certificate, or are an honorably discharged veteran of the Coast Guard or Armed Forces of the United States.""","32,33",,,
32,input,Yes,,34,,,
33,input,No,,1003,,,
34,link,Woot! It looks like you qualify for DACA. 🎉 👏 🎉  What're you waiting for?,,"1004,1005",https://www.roadtostatus.com/immigration-forms/uscis-form-i-821d/,Apply for DACA,
1003,link,What do you want to do next?,"It doesn't look like you qualify for DACA 😞 I'm still under construction, so chat with me again later and I might be able to help you out!","1004,1005",,,
1004,input,Redo DACA convo,,13,,,
1005,input,Chat again!,,START_OVER,,,
35,END,"In that case, I don't know how I can help you more 😞, but thanks for chatting with me! I'm still under construction, so please come back later and I might be able to help you",,START_OVER,,,
36,question,Do you have a Social Security Number?,,"37,38",,,
37,input,Yes,,39,,,
38,input,No,,42,,,
39,question,Are you at least 14 years old?,,"40,41",,,
40,input,Yes,,45,,,
41,input,No,,35,,,
42,question,Do you have one of the above?,I have proof of ineligibility: documents establishing valid legal status that was issued for one or more years and have at least 6 months of lawful status remaining and a letter from the Social Security administration saying you are ineligible for a Social Security number.,"43,44",,,
43,input,Yes,,45,,,
44,input,No,,35,,,
45,question,Do you have a learners permit?,,"46,47",,,
46,input,Yes,,35,,,
47,input,No,,48,,,
48,question,Do you have acceptable proof of your identity and date of birth?,,"49,50,51",,,
49,input,What's this?,,53,,,
50,input,Yes,,62,,,
51,input,No,,35,,,
53,link,Find out more here:,,"3000,3001",https://dmv.ny.gov/driver-license/prove-identity-age-permitlicense,,
3000,input,I have proof,,62,,,
3001,input,I don't,,35,,,
54,question,Do you have a GPA of 2.75 or higher?,,"55,56",,,
55,input,Yes,,57,,,
56,input,No,,35,,,
57,question,Do you have a Social Security Number?,,"58,59",,,
58,input,Yes,,"60,61,2000",,,
59,input,No,,"60,61,2000",,,
60,link,The Hispanic Scholarship Fund,Here are some scholarships offered by the Hispanic Scholarship Fund!,,http://hsf.net/en/scholarships/programs/,,http://hsf.net/assets/HSF-Logo-FB-og.png
61,link,SHPE scholarship programs,You might also want to check in on the SHPE scholarship programs,,http://shpe.org/scholarships,,http://shpe.org/images/logos/shpe_logo_img.jpg
2000,link,Scholarships.com,Search for scholarships by type and find your match,START_OVER,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-type/,🔎 Search by type,https://www.scholarships.com/img/logo.png
62,question,"If you are age 16 or over, you can apply for a NYS driver license. The first step is to apply for a learner permit at a DMV office.",,"63,64",,,
63,input,How do I apply?,,65,,,
64,input,Already have one,,78,,,
65,question,"You will need to take the following: 1) a written test, 2) an eye test, unless you bring an Eye Test Report (MV-619) completed by an eyecare professional",,"66,67",,,
66,input,Tell me more,,68,,,
67,input,What's next?,,73,,,
68,question,"If you do not pass the written test, you can take it again for no additional fee. There is no limit to how many times you can take the written test.If you pass the written test, we will issue you a learner permit that is valid for approximately 5 years.","You must take a written test to receive your learner permit.  To pass the test, you must get least 14 of the 20 multiple-choice questions correct. This includes the correct answers to at least two of the four questions about road signs.","69,70",,,
69,link,Take practice tests,,,https://dmv.ny.gov/driver-license/drivers-manual-practice-tests,,
70,input,How do I take it?,,71,,,
71,question,"Make a reservation online before visiting offices in New York City, Westchester, Nassau, Suffolk, Rockland, Onondaga or Albany Counties. ",,72,,,
72,link,Make a reservation,,,https://visit.dmv.ny.gov/onlineReserve/indexB.html,,
73,question,"Bring the following documents to the DMV: 1) a completed Application for Permit, Driver License or Non-Driver ID Card (MV-44), 2) Social Security Card, 3) acceptable proof of identity and birth, and 4) payment for fees.",,"75,76,77",,,
74,link,Tell me more,,,https://dmv.ny.gov/forms/mv44.pdf,,
75,input,I don't have an SSN,,106,,,
76,link,Acceptable proof?,,,https://dmv.ny.gov/driver-license/prove-identity-age-permitlicense,,
